"corpus","name","months","sex","utterance"
"braunwald","Laura","17","None","lo"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","eat"
"braunwald","Laura","17","None","kitty"
"braunwald","Laura","17","None","bottle"
"braunwald","Laura","17","None","bottle"
"braunwald","Laura","17","None","bottle"
"braunwald","Laura","17","None","bottle"
"braunwald","Laura","17","None","bottle"
"braunwald","Laura","17","None","car"
"braunwald","Laura","17","None","car"
"braunwald","Laura","17","None","bottle"
"braunwald","Laura","17","None","bottle"
"braunwald","Laura","17","None","I want a bottle"
"braunwald","Laura","17","None","want it"
"braunwald","Laura","17","None","bottle"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","look"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","door"
"braunwald","Laura","17","None","door"
"braunwald","Laura","17","None","door"
"braunwald","Laura","17","None","hello"
"braunwald","Laura","17","None","want juice"
"braunwald","Laura","17","None","I want my bottle"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","I do"
"braunwald","Laura","17","None","want it"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","ha"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","Dada"
"braunwald","Laura","17","None","bye"
"braunwald","Laura","17","None","car"
"braunwald","Laura","17","None","bye"
"braunwald","Laura","17","None","car"
"braunwald","Laura","17","None","outside"
"braunwald","Laura","17","None","kitty"
"braunwald","Laura","17","None","bye"
"braunwald","Laura","17","None","toe"
"braunwald","Laura","17","None","toe"
"braunwald","Laura","17","None","toe"
"braunwald","Laura","17","None","toe"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","a xxx"
"braunwald","Laura","17","None","I said toe"
"braunwald","Laura","17","None","here"
"braunwald","Laura","17","None","down"
"braunwald","Laura","17","None","down"
"braunwald","Laura","17","None","cleaner"
"braunwald","Laura","17","None","coat"
"braunwald","Laura","17","None","towel"
"braunwald","Laura","17","None","vacuum"
"braunwald","Laura","17","None","book"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","eye"
"braunwald","Laura","17","None","eye"
"braunwald","Laura","17","None","pictures"
"braunwald","Laura","17","None","crying"
"braunwald","Laura","17","None","vee"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","Jane"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","bear"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","bear"
"braunwald","Laura","17","None","bear"
"braunwald","Laura","17","None","boy"
"braunwald","Laura","17","None","a baby"
"braunwald","Laura","17","None","Mama"
"braunwald","Laura","17","None","Laura"
"braunwald","Laura","17","None","Laura"
"braunwald","Laura","17","None","recorder"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","apple"
"braunwald","Laura","17","None","belly pee"
"braunwald","Laura","17","None","pee"
"braunwald","Laura","17","None","belly"
"braunwald","Laura","17","None","toe"
"braunwald","Laura","17","None","toe"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","toe"
"braunwald","Laura","17","None","toe"
"braunwald","Laura","17","None","uh"
"braunwald","Laura","17","None","shoe"
"braunwald","Laura","17","None","shoe"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","tickle"
"braunwald","Laura","17","None","tail"
"braunwald","Laura","17","None","sock"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","here"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","bye Daddy"
"braunwald","Laura","17","None","Jwww"
"braunwald","Laura","17","None","on"
"braunwald","Laura","17","None","me"
"braunwald","Laura","17","None","car"
"braunwald","Laura","17","None","poo"
"braunwald","Laura","17","None","poo"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","dance"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","Laura"
"braunwald","Laura","17","None","err Laura"
"braunwald","Laura","17","None","Laura"
"braunwald","Laura","17","None","water"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","louder"
"braunwald","Laura","17","None","um powder"
"braunwald","Laura","17","None","button"
"braunwald","Laura","17","None","a b button"
"braunwald","Laura","17","None","yeah"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","whiter"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","eeh"
"braunwald","Laura","17","None","Papa"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","argh"
"braunwald","Laura","17","None","go"
"braunwald","Laura","17","None","got it"
"braunwald","Laura","17","None","vacuum"
"braunwald","Laura","17","None","vacuum"
"braunwald","Laura","17","None","dah"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","shower"
"braunwald","Laura","17","None","uh"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","Laura"
"braunwald","Laura","17","None","home"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","bath"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","shower"
"braunwald","Laura","17","None","shower"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","door"
"braunwald","Laura","17","None","out"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","recorder"
"braunwald","Laura","17","None","bye"
"braunwald","Laura","17","None","a bye"
"braunwald","Laura","17","None","bye"
"braunwald","Laura","17","None","why"
"braunwald","Laura","17","None","hi"
"braunwald","Laura","17","None","yay"
"braunwald","Laura","17","None","stair"
"braunwald","Laura","17","None","stair"
"braunwald","Laura","17","None","stair"
"braunwald","Laura","17","None","stair"
"braunwald","Laura","17","None","bah"
"braunwald","Laura","17","None","help"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","bike"
"braunwald","Laura","17","None","outside hee"
"braunwald","Laura","17","None","bike"
"braunwald","Laura","17","None","car"
"braunwald","Laura","17","None","ride it"
"braunwald","Laura","17","None","bikey"
"braunwald","Laura","17","None","bike"
"braunwald","Laura","17","None","on on"
"braunwald","Laura","17","None","ride"
"braunwald","Laura","17","None","car"
"braunwald","Laura","17","None","on"
"braunwald","Laura","17","None","bye"
"braunwald","Laura","17","None","tired xxx"
"braunwald","Laura","17","None","night"
"braunwald","Laura","17","None","crying"
"braunwald","Laura","17","None","hear me"
"braunwald","Laura","17","None","hee"
"braunwald","Laura","17","None","hee"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","Swww"
"braunwald","Laura","17","None","Sue"
"braunwald","Laura","17","None","cry"
"braunwald","Laura","17","None","poo poo"
"braunwald","Laura","17","None","here"
"braunwald","Laura","17","None","Caca"
"braunwald","Laura","17","None","Caca"
"braunwald","Laura","17","None","happy"
"braunwald","Laura","17","None","Caca"
"braunwald","Laura","17","None","Caca"
"braunwald","Laura","17","None","recorder"
"braunwald","Laura","17","None","recorder"
"braunwald","Laura","17","None","recorder"
"braunwald","Laura","17","None","bow"
"braunwald","Laura","17","None","goodbye"
"braunwald","Laura","17","None","bow"
"braunwald","Laura","17","None","butter"
"braunwald","Laura","17","None","no no I no"
"braunwald","Laura","17","None","bye"
"braunwald","Laura","17","None","Daddy"
"braunwald","Laura","17","None","Laura"
"braunwald","Laura","17","None","Laura"
"braunwald","Laura","17","None","bye"
"braunwald","Laura","17","None","bye"
"braunwald","Laura","17","None","car"
"braunwald","Laura","17","None","ohoh"
"braunwald","Laura","17","None","poo"
"braunwald","Laura","17","None","poo"
"braunwald","Laura","17","None","poo"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","cup"
"braunwald","Laura","17","None","yah"
"braunwald","Laura","17","None","yeah"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","butter"
"braunwald","Laura","17","None","butter"
"braunwald","Laura","17","None","happy happy"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","huh"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","cracker"
"braunwald","Laura","17","None","cracker"
"braunwald","Laura","17","None","cracker"
"braunwald","Laura","17","None","got go"
"braunwald","Laura","17","None","up go"
"braunwald","Laura","17","None","cracker"
"braunwald","Laura","17","None","got xxx"
"braunwald","Laura","17","None","cracker"
"braunwald","Laura","17","None","ohoh"
"braunwald","Laura","17","None","straw"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","whoah"
"braunwald","Laura","17","None","oh oh oh"
"braunwald","Laura","17","None","ah"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","baby"
"braunwald","Laura","17","None","Suzie"
"braunwald","Laura","17","None","Mama"
"braunwald","Laura","17","None","Mama"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","mine"
"braunwald","Laura","17","None","ooh"
"braunwald","Laura","17","None","Mama"
"braunwald","Laura","17","None","eeh ah"
"braunwald","Laura","17","None","ahh"
"braunwald","Laura","17","None","argh"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","no no"
"braunwald","Laura","17","None","hi"
"braunwald","Laura","17","None","to Dwww"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","ki ki"
"braunwald","Laura","17","None","ki"
"braunwald","Laura","17","None","ki"
"braunwald","Laura","17","None","ki"
"braunwald","Laura","17","None","ki"
"braunwald","Laura","17","None","I"
"braunwald","Laura","17","None","done"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","no no"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","ki ki"
"braunwald","Laura","17","None","ki"
"braunwald","Laura","17","None","ki"
"braunwald","Laura","17","None","Mummy"
"braunwald","Laura","17","None","bo"
"braunwald","Laura","17","None","bo bo"
"braunwald","Laura","17","None","Daddy"
"braunwald","Laura","17","None","Joe"
"braunwald","Laura","17","None","mmhm"
"braunwald","Laura","17","None","get it"
"braunwald","Laura","17","None","look Mama"
"braunwald","Laura","17","None","ah"
"braunwald","Laura","17","None","eh"
"braunwald","Laura","17","None","eat"
"braunwald","Laura","17","None","kaka"
"braunwald","Laura","17","None","kaka"
"braunwald","Laura","17","None","kaka"
"braunwald","Laura","17","None","towel"
"braunwald","Laura","17","None","kaka"
"braunwald","Laura","17","None","towel"
"braunwald","Laura","17","None","look"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","that poopoo"
"braunwald","Laura","17","None","poopoo"
"braunwald","Laura","17","None","peepee"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","ta"
"braunwald","Laura","17","None","that is"
"braunwald","Laura","17","None","there it is"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","biya"
"braunwald","Laura","17","None","biya"
"braunwald","Laura","17","None","biyie biyie"
"braunwald","Laura","17","None","biyie"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","no"
"braunwald","Laura","17","None","pea"
"braunwald","Laura","17","None","a"
"braunwald","Laura","17","None","xxx"
"braunwald","Laura","17","None","Daddy"
